Run	analyte_type	Host_site	host_sex	SCiMS sample ID	Rx	Rx 95% CI	Ry	Ry 95% CI
SRR549610	Anterior_nares	Anterior nares	male	SRR549610	inf	(nan, nan)	0.8	(0.552, 1.048)
SRR1569311	Anterior_nares	Anterior nares	female	SRR1569311	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539458	Anterior_nares	Anterior nares	male	SRR539458	inf	(nan, nan)	0.5714	(0.205, 0.938)
SRR1571668	Anterior_nares	Anterior nares	male	SRR1571668	inf	(nan, nan)	0.8	(0.552, 1.048)
SRR533679	Anterior_nares	Anterior nares	female	SRR533679	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531384	Anterior_nares	Anterior nares	female	SRR531384	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1569222	Anterior_nares	Anterior nares	male	SRR1569222	inf	(nan, nan)	0.9	(0.714, 1.086)
SRR061234	Stool	Stool	male	SRR061234	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1571131	Anterior_nares	Anterior nares	female	SRR1571131	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1571632	Anterior_nares	Anterior nares	male	SRR1571632	inf	(nan, nan)	0.6667	(0.359, 0.975)
SRR532841	Anterior_nares	Anterior nares	female	SRR532841	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR638748	Anterior_nares	Anterior nares	male	SRR638748	inf	(nan, nan)	0.8889	(0.684, 1.094)
SRR540474	Anterior_nares	Anterior nares	female	SRR540474	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1564371	Anterior_nares	Anterior nares	male	SRR1564371	inf	(nan, nan)	0.8421	(0.678, 1.006)
SRR062350	Stool	Stool	male	SRR062350	inf	(nan, nan)	0.4	(-0.029, 0.829)
SRR539700	Anterior_nares	Anterior nares	male	SRR539700	inf	(nan, nan)	0.6667	(0.133, 1.2)
SRR1031504	Anterior_nares	Anterior nares	female	SRR1031504	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR638859	Anterior_nares	Anterior nares	male	SRR638859	inf	(nan, nan)	0.8333	(0.622, 1.044)
SRR1031494	Anterior_nares	Anterior nares	female	SRR1031494	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532853	Anterior_nares	Anterior nares	female	SRR532853	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540910	Anterior_nares	Anterior nares	male	SRR540910	inf	(nan, nan)	0.8333	(0.535, 1.132)
SRR1564317	Anterior_nares	Anterior nares	male	SRR1564317	inf	(nan, nan)	0.3846	(0.12, 0.649)
SRR059953	Stool	Stool	female	SRR059953	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR061484	Stool	Stool	male	SRR061484	0.2987	(0.206, 0.391)	0.0	(0.0, 0.0)
SRR532629	Anterior_nares	Anterior nares	male	SRR532629	inf	(nan, nan)	0.5556	(0.231, 0.88)
SRR532798	Anterior_nares	Anterior nares	male	SRR532798	inf	(nan, nan)	0.6	(0.171, 1.029)
SRR532561	Anterior_nares	Anterior nares	female	SRR532561	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533183	Anterior_nares	Anterior nares	male	SRR533183	inf	(nan, nan)	0.5455	(0.251, 0.84)
SRR541270	Anterior_nares	Anterior nares	female	SRR541270	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR060000	Stool	Stool	female	SRR060000	0.6833	(0.539, 0.828)	0.0	(0.0, 0.0)
SRR533226	Anterior_nares	Anterior nares	male	SRR533226	inf	(nan, nan)	0.9333	(0.807, 1.06)
SRR532645	Anterior_nares	Anterior nares	male	SRR532645	inf	(nan, nan)	0.85	(0.694, 1.006)
SRR540466	Anterior_nares	Anterior nares	female	SRR540466	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR541273	Anterior_nares	Anterior nares	female	SRR541273	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532621	Anterior_nares	Anterior nares	male	SRR532621	inf	(nan, nan)	0.8889	(0.684, 1.094)
SRR1031320	Anterior_nares	Anterior nares	female	SRR1031320	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1565331	Anterior_nares	Anterior nares	female	SRR1565331	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532434	Anterior_nares	Anterior nares	male	SRR532434	inf	(nan, nan)	0.75	(0.45, 1.05)
SRR532927	Anterior_nares	Anterior nares	male	SRR532927	inf	(nan, nan)	0.6	(0.296, 0.904)
SRR539558	Anterior_nares	Anterior nares	male	SRR539558	inf	(nan, nan)	0.6	(0.296, 0.904)
SRR533776	Anterior_nares	Anterior nares	female	SRR533776	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539714	Anterior_nares	Anterior nares	male	SRR539714	inf	(nan, nan)	0.9	(0.769, 1.031)
SRR545235	Anterior_nares	Anterior nares	female	SRR545235	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR060138	Stool	Stool	female	SRR060138	inf	(nan, nan)	0.3333	(-0.044, 0.711)
SRR532940	Anterior_nares	Anterior nares	male	SRR532940	inf	(nan, nan)	0.6875	(0.46, 0.915)
SRR537917	Anterior_nares	Anterior nares	male	SRR537917	inf	(nan, nan)	0.8667	(0.695, 1.039)
SRR1031556	Anterior_nares	Anterior nares	female	SRR1031556	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031846	Anterior_nares	Anterior nares	male	SRR1031846	inf	(nan, nan)	0.6	(0.296, 0.904)
SRR1571190	Anterior_nares	Anterior nares	male	SRR1571190	inf	(nan, nan)	0.7857	(0.571, 1.001)
SRR533439	Anterior_nares	Anterior nares	male	SRR533439	inf	(nan, nan)	0.5	(0.01, 0.99)
SRR549463	Anterior_nares	Anterior nares	male	SRR549463	inf	(nan, nan)	0.9474	(0.847, 1.048)
SRR1031135	Anterior_nares	Anterior nares	female	SRR1031135	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1565831	Anterior_nares	Anterior nares	male	SRR1565831	inf	(nan, nan)	0.9091	(0.739, 1.079)
SRR1031424	Anterior_nares	Anterior nares	female	SRR1031424	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031455	Anterior_nares	Anterior nares	female	SRR1031455	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533704	Anterior_nares	Anterior nares	male	SRR533704	inf	(nan, nan)	0.8	(0.449, 1.151)
SRR062355	Stool	Stool	male	SRR062355	0.1706	(0.14, 0.202)	0.0	(0.0, 0.0)
SRR1570033	Anterior_nares	Anterior nares	male	SRR1570033	inf	(nan, nan)	0.8	(0.598, 1.002)
SRR1031101	Anterior_nares	Anterior nares	male	SRR1031101	inf	(nan, nan)	0.9091	(0.739, 1.079)
SRR060003	Stool	Stool	female	SRR060003	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031536	Anterior_nares	Anterior nares	female	SRR1031536	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031874	Anterior_nares	Anterior nares	male	SRR1031874	inf	(nan, nan)	0.8333	(0.622, 1.044)
SRR062322	Stool	Stool	male	SRR062322	0.4908	(0.384, 0.598)	0.0	(0.0, 0.0)
SRR539574	Anterior_nares	Anterior nares	male	SRR539574	inf	(nan, nan)	0.75	(0.45, 1.05)
SRR1031196	Anterior_nares	Anterior nares	female	SRR1031196	inf	(nan, nan)	0.25	(-0.174, 0.674)
SRR1179029	Anterior_nares	Anterior nares	female	SRR1179029	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031122	Anterior_nares	Anterior nares	male	SRR1031122	inf	(nan, nan)	0.8333	(0.622, 1.044)
SRR513820	Tongue_dorsum	Oral cavity	female	SRR513820	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533371	Anterior_nares	Anterior nares	male	SRR533371	inf	(nan, nan)	0.7895	(0.606, 0.973)
SRR1031498	Anterior_nares	Anterior nares	female	SRR1031498	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533200	Anterior_nares	Anterior nares	male	SRR533200	inf	(nan, nan)	0.9231	(0.778, 1.068)
SRR532446	Anterior_nares	Anterior nares	male	SRR532446	inf	(nan, nan)	0.625	(0.29, 0.96)
SRR532808	Anterior_nares	Anterior nares	male	SRR532808	inf	(nan, nan)	0.7647	(0.563, 0.966)
SRR540398	Anterior_nares	Anterior nares	female	SRR540398	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR549653	Anterior_nares	Anterior nares	male	SRR549653	inf	(nan, nan)	0.6923	(0.441, 0.943)
SRR532847	Anterior_nares	Anterior nares	female	SRR532847	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031708	Anterior_nares	Anterior nares	male	SRR1031708	inf	(nan, nan)	0.8	(0.552, 1.048)
SRR060001	Stool	Stool	female	SRR060001	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1571591	Anterior_nares	Anterior nares	male	SRR1571591	0.1883	(0.148, 0.229)	0.9	(0.714, 1.086)
SRR532432	Anterior_nares	Anterior nares	male	SRR532432	inf	(nan, nan)	0.8235	(0.642, 1.005)
SRR532710	Anterior_nares	Anterior nares	male	SRR532710	inf	(nan, nan)	0.8571	(0.598, 1.116)
SRR537999	Anterior_nares	Anterior nares	male	SRR537999	inf	(nan, nan)	0.7778	(0.586, 0.97)
SRR532409	Anterior_nares	Anterior nares	male	SRR532409	inf	(nan, nan)	0.8	(0.598, 1.002)
SRR533357	Anterior_nares	Anterior nares	male	SRR533357	inf	(nan, nan)	0.875	(0.713, 1.037)
SRR1031464	Anterior_nares	Anterior nares	female	SRR1031464	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533240	Anterior_nares	Anterior nares	male	SRR533240	inf	(nan, nan)	0.5333	(0.281, 0.786)
SRR539908	Anterior_nares	Anterior nares	male	SRR539908	inf	(nan, nan)	0.8	(0.625, 0.975)
SRR540682	Anterior_nares	Anterior nares	male	SRR540682	inf	(nan, nan)	0.8462	(0.65, 1.042)
SRR527983	Anterior_nares	Anterior nares	male	SRR527983	inf	(nan, nan)	0.8462	(0.65, 1.042)
SRR541258	Anterior_nares	Anterior nares	female	SRR541258	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031612	Anterior_nares	Anterior nares	female	SRR1031612	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR061213	Tongue_dorsum	Oral cavity	female	SRR061213	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533822	Anterior_nares	Anterior nares	male	SRR533822	inf	(nan, nan)	0.7333	(0.51, 0.957)
SRR1031060	Anterior_nares	Anterior nares	female	SRR1031060	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1570080	Anterior_nares	Anterior nares	male	SRR1570080	inf	(nan, nan)	0.8571	(0.674, 1.04)
SRR528097	Anterior_nares	Anterior nares	male	SRR528097	inf	(nan, nan)	0.7778	(0.506, 1.049)
SRR528137	Anterior_nares	Anterior nares	male	SRR528137	inf	(nan, nan)	0.875	(0.713, 1.037)
SRR533190	Anterior_nares	Anterior nares	male	SRR533190	inf	(nan, nan)	0.5882	(0.354, 0.822)
SRR539449	Anterior_nares	Anterior nares	male	SRR539449	inf	(nan, nan)	0.6667	(0.289, 1.044)
SRR540512	Anterior_nares	Anterior nares	male	SRR540512	inf	(nan, nan)	0.8333	(0.622, 1.044)
SRR1175009	Anterior_nares	Anterior nares	female	SRR1175009	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR061331	Stool	Stool	female	SRR061331	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533792	Anterior_nares	Anterior nares	female	SRR533792	inf	(nan, nan)	0.3333	(-0.044, 0.711)
SRR1569921	Anterior_nares	Anterior nares	male	SRR1569921	inf	(nan, nan)	0.875	(0.713, 1.037)
SRR1031546	Anterior_nares	Anterior nares	female	SRR1031546	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532558	Anterior_nares	Anterior nares	female	SRR532558	inf	(nan, nan)	0.25	(-0.174, 0.674)
SRR640529	Anterior_nares	Anterior nares	male	SRR640529	inf	(nan, nan)	0.9	(0.714, 1.086)
SRR533549	Anterior_nares	Anterior nares	male	SRR533549	inf	(nan, nan)	0.6667	(0.359, 0.975)
SRR540916	Anterior_nares	Anterior nares	male	SRR540916	inf	(nan, nan)	0.5833	(0.304, 0.862)
SRR541274	Anterior_nares	Anterior nares	female	SRR541274	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031579	Anterior_nares	Anterior nares	female	SRR1031579	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1569261	Anterior_nares	Anterior nares	male	SRR1569261	inf	(nan, nan)	0.6667	(0.359, 0.975)
SRR533824	Anterior_nares	Anterior nares	male	SRR533824	inf	(nan, nan)	0.8667	(0.695, 1.039)
SRR540523	Anterior_nares	Anterior nares	male	SRR540523	inf	(nan, nan)	0.4	(-0.029, 0.829)
SRR533720	Anterior_nares	Anterior nares	male	SRR533720	inf	(nan, nan)	0.8333	(0.622, 1.044)
SRR538250	Anterior_nares	Anterior nares	male	SRR538250	inf	(nan, nan)	0.625	(0.29, 0.96)
SRR549425	Anterior_nares	Anterior nares	male	SRR549425	inf	(nan, nan)	0.7778	(0.586, 0.97)
SRR346668	Stool	Stool	male	SRR346668	0.4452	(0.361, 0.53)	0.0	(0.0, 0.0)
SRR1571082	Anterior_nares	Anterior nares	male	SRR1571082	inf	(nan, nan)	0.8	(0.552, 1.048)
SRR541091	Anterior_nares	Anterior nares	female	SRR541091	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031454	Anterior_nares	Anterior nares	female	SRR1031454	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR061182	Stool	Stool	female	SRR061182	1.068	(0.829, 1.307)	0.1333	(-0.039, 0.305)
SRR539423	Anterior_nares	Anterior nares	male	SRR539423	inf	(nan, nan)	0.5	(0.154, 0.846)
SRR540744	Anterior_nares	Anterior nares	male	SRR540744	inf	(nan, nan)	0.7857	(0.571, 1.001)
SRR533827	Anterior_nares	Anterior nares	male	SRR533827	inf	(nan, nan)	0.8333	(0.622, 1.044)
SRR533733	Anterior_nares	Anterior nares	male	SRR533733	inf	(nan, nan)	0.8	(0.598, 1.002)
SRR533161	Anterior_nares	Anterior nares	male	SRR533161	inf	(nan, nan)	0.6667	(0.289, 1.044)
SRR1031844	Anterior_nares	Anterior nares	male	SRR1031844	inf	(nan, nan)	0.9412	(0.829, 1.053)
SRR061456	Stool	Stool	male	SRR061456	0.7871	(0.607, 0.967)	0.0	(0.0, 0.0)
SRR532379	Anterior_nares	Anterior nares	male	SRR532379	inf	(nan, nan)	0.7778	(0.586, 0.97)
SRR531367	Anterior_nares	Anterior nares	male	SRR531367	0.4866	(0.309, 0.664)	0.8667	(0.695, 1.039)
SRR532557	Anterior_nares	Anterior nares	female	SRR532557	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR549501	Anterior_nares	Anterior nares	male	SRR549501	inf	(nan, nan)	0.8571	(0.598, 1.116)
SRR061204	Stool	Stool	female	SRR061204	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533710	Anterior_nares	Anterior nares	male	SRR533710	inf	(nan, nan)	0.8182	(0.59, 1.046)
SRR1031103	Anterior_nares	Anterior nares	male	SRR1031103	inf	(nan, nan)	0.4667	(0.214, 0.719)
SRR532218	Anterior_nares	Anterior nares	female	SRR532218	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540725	Anterior_nares	Anterior nares	male	SRR540725	inf	(nan, nan)	0.6364	(0.352, 0.921)
SRR1031314	Anterior_nares	Anterior nares	female	SRR1031314	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031484	Anterior_nares	Anterior nares	male	SRR1031484	inf	(nan, nan)	0.8	(0.552, 1.048)
SRR1031205	Anterior_nares	Anterior nares	female	SRR1031205	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531499	Anterior_nares	Anterior nares	male	SRR531499	inf	(nan, nan)	0.8235	(0.642, 1.005)
SRR533820	Anterior_nares	Anterior nares	male	SRR533820	inf	(nan, nan)	0.75	(0.538, 0.962)
SRR061575	Tongue_dorsum	Oral cavity	female	SRR061575	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539831	Anterior_nares	Anterior nares	male	SRR539831	inf	(nan, nan)	0.8148	(0.668, 0.961)
SRR540903	Anterior_nares	Anterior nares	male	SRR540903	inf	(nan, nan)	0.8889	(0.684, 1.094)
SRR1031375	Anterior_nares	Anterior nares	female	SRR1031375	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531366	Anterior_nares	Anterior nares	male	SRR531366	inf	(nan, nan)	0.7778	(0.586, 0.97)
SRR528400	Anterior_nares	Anterior nares	male	SRR528400	inf	(nan, nan)	0.9	(0.769, 1.031)
SRR1031696	Anterior_nares	Anterior nares	female	SRR1031696	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR537778	Anterior_nares	Anterior nares	female	SRR537778	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031451	Anterior_nares	Anterior nares	female	SRR1031451	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031517	Anterior_nares	Anterior nares	male	SRR1031517	inf	(nan, nan)	0.8571	(0.707, 1.007)
SRR1031767	Anterior_nares	Anterior nares	male	SRR1031767	inf	(nan, nan)	0.9091	(0.739, 1.079)
SRR513780	Supragingival_plaque	Oral cavity	female	SRR513780	inf	(nan, nan)	0.3333	(-0.2, 0.867)
SRR533333	Anterior_nares	Anterior nares	male	SRR533333	inf	(nan, nan)	0.6	(0.296, 0.904)
SRR1031182	Anterior_nares	Anterior nares	male	SRR1031182	inf	(nan, nan)	0.8947	(0.757, 1.033)
SRR1031864	Anterior_nares	Anterior nares	male	SRR1031864	inf	(nan, nan)	0.75	(0.45, 1.05)
SRR532385	Anterior_nares	Anterior nares	male	SRR532385	inf	(nan, nan)	0.6667	(0.359, 0.975)
SRR537784	Anterior_nares	Anterior nares	male	SRR537784	inf	(nan, nan)	0.8	(0.552, 1.048)
SRR545473	Anterior_nares	Anterior nares	female	SRR545473	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031643	Anterior_nares	Anterior nares	male	SRR1031643	inf	(nan, nan)	0.9333	(0.807, 1.06)
SRR531489	Anterior_nares	Anterior nares	male	SRR531489	0.898	(0.542, 1.254)	0.8889	(0.77, 1.007)
SRR534573	Anterior_nares	Anterior nares	male	SRR534573	inf	(nan, nan)	0.7778	(0.506, 1.049)
SRR059447	Supragingival_plaque	Oral cavity	female	SRR059447	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR545652	Anterior_nares	Anterior nares	male	SRR545652	inf	(nan, nan)	0.8947	(0.757, 1.033)
SRR346677	Anterior_nares	Anterior nares	female	SRR346677	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR537714	Anterior_nares	Anterior nares	male	SRR537714	inf	(nan, nan)	0.6667	(0.289, 1.044)
SRR1031364	Anterior_nares	Anterior nares	male	SRR1031364	inf	(nan, nan)	0.8333	(0.622, 1.044)
SRR539318	Anterior_nares	Anterior nares	male	SRR539318	inf	(nan, nan)	0.8333	(0.661, 1.006)
SRR1031457	Anterior_nares	Anterior nares	female	SRR1031457	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR520266	Stool	Stool	female	SRR520266	0.8649	(0.542, 1.188)	0.0	(0.0, 0.0)
SRR533543	Anterior_nares	Anterior nares	female	SRR533543	3.4422	(2.047, 4.837)	0.0	(0.0, 0.0)
SRR061448	Tongue_dorsum	Oral cavity	female	SRR061448	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532715	Anterior_nares	Anterior nares	male	SRR532715	0.5007	(0.317, 0.685)	0.8667	(0.695, 1.039)
SRR537707	Anterior_nares	Anterior nares	male	SRR537707	inf	(nan, nan)	0.7895	(0.606, 0.973)
SRR059446	Supragingival_plaque	Oral cavity	female	SRR059446	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR537814	Anterior_nares	Anterior nares	male	SRR537814	inf	(nan, nan)	0.8571	(0.674, 1.04)
SRR061334	Stool	Stool	female	SRR061334	1.1754	(0.959, 1.391)	0.0	(0.0, 0.0)
SRR532244	Anterior_nares	Anterior nares	female	SRR532244	0.9945	(0.525, 1.464)	0.0	(0.0, 0.0)
SRR531368	Anterior_nares	Anterior nares	male	SRR531368	inf	(nan, nan)	0.9167	(0.76, 1.073)
SRR533135	Anterior_nares	Anterior nares	male	SRR533135	inf	(nan, nan)	0.6667	(0.449, 0.884)
SRR1031722	Anterior_nares	Anterior nares	female	SRR1031722	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031372	Anterior_nares	Anterior nares	female	SRR1031372	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532724	Anterior_nares	Anterior nares	male	SRR532724	inf	(nan, nan)	0.9545	(0.868, 1.042)
SRR549443	Anterior_nares	Anterior nares	male	SRR549443	inf	(nan, nan)	0.875	(0.646, 1.104)
SRR1031807	Anterior_nares	Anterior nares	male	SRR1031807	inf	(nan, nan)	0.9	(0.769, 1.031)
SRR1031589	Anterior_nares	Anterior nares	female	SRR1031589	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR538180	Anterior_nares	Anterior nares	male	SRR538180	inf	(nan, nan)	0.8235	(0.642, 1.005)
SRR539572	Anterior_nares	Anterior nares	male	SRR539572	inf	(nan, nan)	0.8182	(0.657, 0.979)
SRR549546	Anterior_nares	Anterior nares	male	SRR549546	inf	(nan, nan)	0.9231	(0.778, 1.068)
SRR1031532	Anterior_nares	Anterior nares	male	SRR1031532	inf	(nan, nan)	0.8333	(0.622, 1.044)
SRR1031863	Anterior_nares	Anterior nares	male	SRR1031863	inf	(nan, nan)	0.75	(0.45, 1.05)
SRR532239	Anterior_nares	Anterior nares	female	SRR532239	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532373	Anterior_nares	Anterior nares	male	SRR532373	inf	(nan, nan)	0.9474	(0.847, 1.048)
SRR532643	Anterior_nares	Anterior nares	male	SRR532643	inf	(nan, nan)	0.9412	(0.829, 1.053)
SRR537818	Anterior_nares	Anterior nares	male	SRR537818	inf	(nan, nan)	0.875	(0.713, 1.037)
SRR537830	Anterior_nares	Anterior nares	male	SRR537830	inf	(nan, nan)	0.913	(0.798, 1.028)
SRR1031380	Anterior_nares	Anterior nares	female	SRR1031380	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531498	Anterior_nares	Anterior nares	male	SRR531498	inf	(nan, nan)	0.6667	(0.4, 0.933)
SRR532377	Anterior_nares	Anterior nares	male	SRR532377	inf	(nan, nan)	0.8621	(0.737, 0.988)
SRR533260	Anterior_nares	Anterior nares	male	SRR533260	inf	(nan, nan)	0.6818	(0.487, 0.876)
SRR540743	Anterior_nares	Anterior nares	male	SRR540743	inf	(nan, nan)	0.8	(0.598, 1.002)
SRR545635	Anterior_nares	Anterior nares	male	SRR545635	inf	(nan, nan)	0.8571	(0.674, 1.04)
SRR539571	Anterior_nares	Anterior nares	male	SRR539571	inf	(nan, nan)	0.8947	(0.757, 1.033)
SRR549660	Anterior_nares	Anterior nares	male	SRR549660	inf	(nan, nan)	0.9333	(0.807, 1.06)
SRR545453	Anterior_nares	Anterior nares	female	SRR545453	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532632	Anterior_nares	Anterior nares	male	SRR532632	inf	(nan, nan)	0.8	(0.598, 1.002)
SRR540659	Anterior_nares	Anterior nares	male	SRR540659	inf	(nan, nan)	0.8947	(0.757, 1.033)
SRR1031162	Anterior_nares	Anterior nares	female	SRR1031162	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531257	Anterior_nares	Anterior nares	male	SRR531257	inf	(nan, nan)	0.75	(0.45, 1.05)
SRR1031146	Anterior_nares	Anterior nares	male	SRR1031146	inf	(nan, nan)	0.875	(0.713, 1.037)
SRR353621	Anterior_nares	Anterior nares	female	SRR353621	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531672	Anterior_nares	Anterior nares	male	SRR531672	inf	(nan, nan)	0.7778	(0.506, 1.049)
SRR531673	Anterior_nares	Anterior nares	male	SRR531673	inf	(nan, nan)	0.625	(0.29, 0.96)
SRR532617	Anterior_nares	Anterior nares	male	SRR532617	inf	(nan, nan)	0.9286	(0.794, 1.063)
SRR533342	Anterior_nares	Anterior nares	male	SRR533342	inf	(nan, nan)	0.8571	(0.674, 1.04)
SRR539457	Anterior_nares	Anterior nares	male	SRR539457	inf	(nan, nan)	0.7	(0.416, 0.984)
SRR533544	Anterior_nares	Anterior nares	female	SRR533544	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533274	Anterior_nares	Anterior nares	male	SRR533274	inf	(nan, nan)	0.8182	(0.657, 0.979)
SRR533818	Anterior_nares	Anterior nares	male	SRR533818	inf	(nan, nan)	0.7368	(0.539, 0.935)
SRR531674	Anterior_nares	Anterior nares	male	SRR531674	inf	(nan, nan)	0.875	(0.713, 1.037)
SRR539438	Anterior_nares	Anterior nares	male	SRR539438	inf	(nan, nan)	0.7368	(0.539, 0.935)
SRR539830	Anterior_nares	Anterior nares	female	SRR539830	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR545625	Anterior_nares	Anterior nares	male	SRR545625	inf	(nan, nan)	0.8571	(0.598, 1.116)
SRR532650	Anterior_nares	Anterior nares	male	SRR532650	inf	(nan, nan)	0.6667	(0.289, 1.044)
SRR532742	Anterior_nares	Anterior nares	male	SRR532742	inf	(nan, nan)	0.9259	(0.827, 1.025)
SRR539746	Anterior_nares	Anterior nares	female	SRR539746	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR538247	Anterior_nares	Anterior nares	male	SRR538247	inf	(nan, nan)	0.7778	(0.586, 0.97)
SRR1031069	Anterior_nares	Anterior nares	female	SRR1031069	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR549439	Anterior_nares	Anterior nares	male	SRR549439	inf	(nan, nan)	0.9375	(0.819, 1.056)
SRR539810	Anterior_nares	Anterior nares	female	SRR539810	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR538122	Anterior_nares	Anterior nares	female	SRR538122	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533270	Anterior_nares	Anterior nares	male	SRR533270	inf	(nan, nan)	0.8	(0.552, 1.048)
SRR538192	Anterior_nares	Anterior nares	female	SRR538192	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532951	Anterior_nares	Anterior nares	male	SRR532951	inf	(nan, nan)	0.7	(0.416, 0.984)
SRR541084	Anterior_nares	Anterior nares	female	SRR541084	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533849	Anterior_nares	Anterior nares	female	SRR533849	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540677	Anterior_nares	Anterior nares	male	SRR540677	inf	(nan, nan)	0.7857	(0.634, 0.938)
SRR545657	Anterior_nares	Anterior nares	male	SRR545657	inf	(nan, nan)	0.9167	(0.806, 1.027)
SRR1031725	Anterior_nares	Anterior nares	male	SRR1031725	inf	(nan, nan)	0.8	(0.625, 0.975)
SRR533375	Anterior_nares	Anterior nares	male	SRR533375	inf	(nan, nan)	0.8571	(0.707, 1.007)
SRR513823	Tongue_dorsum	Oral cavity	female	SRR513823	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532368	Anterior_nares	Anterior nares	male	SRR532368	0.7465	(0.525, 0.968)	0.8	(0.625, 0.975)
SRR538152	Anterior_nares	Anterior nares	male	SRR538152	inf	(nan, nan)	0.8235	(0.642, 1.005)
SRR545459	Anterior_nares	Anterior nares	female	SRR545459	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR538135	Anterior_nares	Anterior nares	male	SRR538135	inf	(nan, nan)	0.8636	(0.72, 1.007)
SRR549729	Anterior_nares	Anterior nares	male	SRR549729	0.1884	(0.104, 0.273)	0.9286	(0.794, 1.063)
SRR1031185	Anterior_nares	Anterior nares	male	SRR1031185	inf	(nan, nan)	0.8	(0.598, 1.002)
